date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:13:36	50100/50100	---M--	200	added ('OK')	image/jpeg	etag:%22125e19c-c3b4-5ba0726f1b2b3%22	https://thegenius.co/html/crsine_new/assets/images/resources/about-3-1.jpg	thegenius.co/html/crsine_new/assets/images/resources/about-3-1.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:38	106798/106798	---M--	200	added ('OK')	image/jpeg	etag:%22121217d-1a12e-5ba0723d8cab8%22	https://thegenius.co/html/crsine_new/assets/images/backgrounds/cta-bg-2-2.jpg	thegenius.co/html/crsine_new/assets/images/backgrounds/cta-bg-2-2.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:38	101955/101955	---M--	200	added ('OK')	image/jpeg	etag:%221212179-18e43-5ba0723c7b3ba%22	https://thegenius.co/html/crsine_new/assets/images/backgrounds/cta-bg-2-1.jpg	thegenius.co/html/crsine_new/assets/images/backgrounds/cta-bg-2-1.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:40	13473/13473	---M--	200	added ('OK')	image/jpeg	etag:%22125e1cc-34a1-5ba07277820b2%22	https://thegenius.co/html/crsine_new/assets/images/services/service-1-4.jpg	thegenius.co/html/crsine_new/assets/images/services/service-1-4.jpg	(from https://thegenius.co/html/crsine_new/services.html)
05:13:40	48009/48009	---M--	200	added ('OK')	image/jpeg	etag:%221212348-bb89-5ba07245ce6f7%22	https://thegenius.co/html/crsine_new/assets/images/backgrounds/page-header-bg-1-1.jpg	thegenius.co/html/crsine_new/assets/images/backgrounds/page-header-bg-1-1.jpg	(from https://thegenius.co/html/crsine_new/about.html)
05:13:41	17782/17782	---M--	200	added ('OK')	image/jpeg	etag:%22125e1d4-4576-5ba072785b158%22	https://thegenius.co/html/crsine_new/assets/images/services/service-1-5.jpg	thegenius.co/html/crsine_new/assets/images/services/service-1-5.jpg	(from https://thegenius.co/html/crsine_new/services.html)
05:13:42	13463/13463	---M--	200	added ('OK')	image/jpeg	etag:%22125e1d8-3497-5ba0727870148%22	https://thegenius.co/html/crsine_new/assets/images/services/service-1-6.jpg	thegenius.co/html/crsine_new/assets/images/services/service-1-6.jpg	(from https://thegenius.co/html/crsine_new/services.html)
05:13:43	22213/22213	---M--	200	added ('OK')	image/jpeg	etag:%221212184-56c5-5ba0723d9d458%22	https://thegenius.co/html/crsine_new/assets/images/backgrounds/faq-sidebar-b.jpg	thegenius.co/html/crsine_new/assets/images/backgrounds/faq-sidebar-b.jpg	(from https://thegenius.co/html/crsine_new/service-details.html)
05:13:44	39828/39828	---M--	200	added ('OK')	image/jpeg	etag:%22125e1dd-9b94-5ba0727997fa5%22	https://thegenius.co/html/crsine_new/assets/images/services/service-d-1.jpg	thegenius.co/html/crsine_new/assets/images/services/service-d-1.jpg	(from https://thegenius.co/html/crsine_new/service-details.html)
05:13:45	15435/15435	---M--	200	added ('OK')	image/jpeg	etag:%22125e1de-3c4b-5ba0727981076%22	https://thegenius.co/html/crsine_new/assets/images/services/service-d-2.jpg	thegenius.co/html/crsine_new/assets/images/services/service-d-2.jpg	(from https://thegenius.co/html/crsine_new/service-details.html)
05:13:46	26856/26856	---M--	200	added ('OK')	image/jpeg	etag:%22125e10c-68e8-5ba0725bc53a2%22	https://thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-1.jpg	thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-1.jpg	(from https://thegenius.co/html/crsine_new/gallery.html)
05:13:47	19793/19793	---M--	200	added ('OK')	image/jpeg	etag:%22125e10d-4d51-5ba0725bc4bd2%22	https://thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-2.jpg	thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-2.jpg	(from https://thegenius.co/html/crsine_new/gallery.html)
05:13:48	19728/19728	---M--	200	added ('OK')	image/jpeg	etag:%22125e10e-4d10-5ba0725d16240%22	https://thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-3.jpg	thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-3.jpg	(from https://thegenius.co/html/crsine_new/gallery.html)
